,hpso,Image Spectral Fitting ,IFFT,Reprojection Predict,Reprojection,Subtract Image Component ,Phase Rotation Predict ,Degrid,Visibility Weighting ,Phase Rotation ,Identify Component ,Gridding Kernel Update ,Subtract Visibility ,Source Find ,Correct ,DFT ,Solv,Flag ,Average,Receive,Demix,FFT,Grid ,Degridding Kernel Update
DPrepA,hpso01,,0.025527666760211,0.000246774469591,0.000246774469591,2.05154998888889e-05,0.0,0.066153257543218,6.81752389086386e-05,0.0,1.04633953357707e-05,0.025046675626327,0.000124887596441,,0.059946046291823,2.04262535642661,,0.017421819703561,,,,0.025527666760211,0.066153257543218,0.025046675626327
DPrepB,hpso01,,0.031192056505396,0.000493548939183,0.001233872347957,0.004103099977778,0.0,0.031270291820009,0.000136350477817,0.0,0.001046339533577,0.063823340536245,0.000249775192883,,0.119892092583647,2.04262535642661,,0.034843639407122,,,,0.077980141263491,0.031270291820009,0.063823340536245
DPrepC,hpso01,,0.033621494002072,0.000493548939183,0.003701617043872,0.012309299933333,0.0,0.115305533634483,0.000519055627959,0.0,0.003139018600731,0.155993757456281,0.000485458979242,,0.233020310036393,3.97001323094473,,0.067721527604327,,,,0.252161205015543,0.115305533634483,0.155993757456281
DPrepD,hpso01,,,,,,,,,,,,,,0.233020310036393,,,0.067721527604327,,,,,,
FastImg,hpso01,,0.001830706914862,,,,0.0,0.001568842390161,2.34719885147783e-05,0.0,,0.001823304215856,2.20663172382948e-05,,0.002647958068595,0.360910293722248,,0.003078251254742,,,,0.001830706914862,0.001568842390161,0.001823304215856
ICAL,hpso01,,0.768791318108717,0.002943795081799,0.00058875901636,0.00033570818,0.0,0.279154152204998,0.000808615321964,0.0,8.5153626284083e-05,0.190814149044543,0.000551751445183,3e-12,0.264840693687728,4.51214341732121,,0.076969326602996,,,,0.153758263621743,0.279154152204998,0.190814149044543
Ingest,hpso01,,,,,,,,,,,,,,,,,0.01063407058944,0.00030601641984,0.000153053721031,0.62133495250944,,,
RCAL,hpso01,,0.085421257567659,0.000327088342422,6.54176684844247e-05,,0.0,0.031017128022771,8.9846146884925e-05,0.0,,0.021201572116053,6.13057161314185e-05,,0.029426743743081,0.501349268591246,,0.008552147400333,,,,0.017084251513532,0.031017128022771,0.021201572116053
DPrepA,hpso02a,,0.025527666760211,0.000246774469591,0.000246774469591,2.05154998888889e-05,0.0,0.066153257543218,6.81752389086386e-05,0.0,1.04633953357707e-05,0.025046675626327,0.000124887596441,,0.059946046291823,2.04262535642661,,0.017421819703561,,,,0.025527666760211,0.066153257543218,0.025046675626327
DPrepB,hpso02a,,0.031192056505396,0.000493548939183,0.001233872347957,0.004103099977778,0.0,0.031270291820009,0.000136350477817,0.0,0.001046339533577,0.063823340536245,0.000249775192883,,0.119892092583647,2.04262535642661,,0.034843639407122,,,,0.077980141263491,0.031270291820009,0.063823340536245
DPrepC,hpso02a,,0.033621494002072,0.000493548939183,0.003701617043872,0.012309299933333,0.0,0.115305533634483,0.000519055627959,0.0,0.003139018600731,0.155993757456281,0.000485458979242,,0.233020310036393,3.97001323094473,,0.067721527604327,,,,0.252161205015543,0.115305533634483,0.155993757456281
DPrepD,hpso02a,,,,,,,,,,,,,,0.233020310036393,,,0.067721527604327,,,,,,
FastImg,hpso02a,,0.001830706914862,,,,0.0,0.001568842390161,2.34719885147783e-05,0.0,,0.001823304215856,2.20663172382948e-05,,0.002647958068595,0.360910293722248,,0.003078251254742,,,,0.001830706914862,0.001568842390161,0.001823304215856
ICAL,hpso02a,,0.229476659074792,0.001308353369689,0.000261670673938,0.00033570818,0.0,0.099531734992268,0.000390604561115,0.0,8.44721922373702e-05,0.098214444859976,0.000367839132669,3e-12,0.176562783681007,3.00813515867589,,0.051313559007293,,,,0.045895331814959,0.099531734992268,0.098214444859976
Ingest,hpso02a,,,,,,,,,,,,,,,,,0.01063407058944,0.00030601641984,0.000153053721031,0.62133495250944,,,
RCAL,hpso02a,,0.085421257567659,0.000327088342422,6.54176684844247e-05,,0.0,0.031017128022771,8.9846146884925e-05,0.0,,0.021201572116053,6.13057161314185e-05,,0.029426743743081,0.501349268591246,,0.008552147400333,,,,0.017084251513532,0.031017128022771,0.021201572116053
DPrepA,hpso02b,,0.025527666760211,0.000246774469591,0.000246774469591,2.05154998888889e-05,0.0,0.066153257543218,6.81752389086386e-05,0.0,1.04633953357707e-05,0.025046675626327,0.000124887596441,,0.059946046291823,2.04262535642661,,0.017421819703561,,,,0.025527666760211,0.066153257543218,0.025046675626327
DPrepB,hpso02b,,0.031192056505396,0.000493548939183,0.001233872347957,0.004103099977778,0.0,0.031270291820009,0.000136350477817,0.0,0.001046339533577,0.063823340536245,0.000249775192883,,0.119892092583647,2.04262535642661,,0.034843639407122,,,,0.077980141263491,0.031270291820009,0.063823340536245
DPrepC,hpso02b,,0.033621494002072,0.000493548939183,0.003701617043872,0.012309299933333,0.0,0.115305533634483,0.000519055627959,0.0,0.003139018600731,0.155993757456281,0.000485458979242,,0.233020310036393,3.97001323094473,,0.067721527604327,,,,0.252161205015543,0.115305533634483,0.155993757456281
DPrepD,hpso02b,,,,,,,,,,,,,,0.233020310036393,,,0.067721527604327,,,,,,
FastImg,hpso02b,,0.001830706914862,,,,0.0,0.001568842390161,2.34719885147783e-05,0.0,,0.001823304215856,2.20663172382948e-05,,0.002647958068595,0.360910293722248,,0.003078251254742,,,,0.001830706914862,0.001568842390161,0.001823304215856
ICAL,hpso02b,,0.229476659074792,0.001308353369689,0.000261670673938,0.00033570818,0.0,0.099531734992268,0.000390604561115,0.0,8.44721922373702e-05,0.098214444859976,0.000367839132669,3e-12,0.176562783681007,3.00813515867589,,0.051313559007293,,,,0.045895331814959,0.099531734992268,0.098214444859976
Ingest,hpso02b,,,,,,,,,,,,,,,,,0.01063407058944,0.00030601641984,0.000153053721031,0.62133495250944,,,
RCAL,hpso02b,,0.085421257567659,0.000327088342422,6.54176684844247e-05,,0.0,0.031017128022771,8.9846146884925e-05,0.0,,0.021201572116053,6.13057161314185e-05,,0.029426743743081,0.501349268591246,,0.008552147400333,,,,0.017084251513532,0.031017128022771,0.021201572116053
FastImg,hpso04a,,0.000657726866775,,,,0.0,0.000362253929743,7.19157354481205e-06,0.0,,0.000399985691383,6.76089107424108e-06,,0.000811306928909,0.11057917626571,,0.000943144304857,,,,0.000657726866775,0.000362253929743,0.000399985691383
Ingest,hpso04a,,,,,,,,,,,,,,,,,0.01063407058944,0.00030601641984,0.000153030965476,0.62127414239232,,,
RCAL,hpso04a,,0.019574458877262,0.000165245229506,3.30490459012959e-05,,0.0,0.008369253050967,2.75279277316336e-05,0.0,,0.005318788025777,1.87834370127329e-05,,0.009016049766112,0.153608227783792,,0.002620289463276,,,,0.003914891775452,0.008369253050967,0.005318788025777
FastImg,hpso05a,,0.000657726866775,,,,0.0,0.000362253929743,7.19157354481205e-06,0.0,,0.000399985691383,6.76089107424108e-06,,0.000811306928909,0.11057917626571,,0.000943144304857,,,,0.000657726866775,0.000362253929743,0.000399985691383
Ingest,hpso05a,,,,,,,,,,,,,,,,,0.01063407058944,0.00030601641984,0.000153030965476,0.62127414239232,,,
RCAL,hpso05a,,0.019574458877262,0.000165245229506,3.30490459012959e-05,,0.0,0.008369253050967,2.75279277316336e-05,0.0,,0.005318788025777,1.87834370127329e-05,,0.009016049766112,0.153608227783792,,0.002620289463276,,,,0.003914891775452,0.008369253050967,0.005318788025777
